en	kw
Yes. They were working in the same room.	Esens. Yth esens i owth oberi y'n keth stevel.
This, the Welcome Nugget, was discovered in Ballarat in 1858 weighing 185lb (around 13 stone, the weight of an average adult man), and the Welcome Stranger nugget was discovered eleven years later in Victoria, weighing over 200lbs (more than 14 stone, or 90kg).	Diskudhys veu hemma, an ‘Welcome Nugget’, yn Ballarat yn 1858, 185lb y boster (a-dro dhe 13 menbos, pos den tevesik kresek), hag an ‘Welcome Stranger Nugget’ a veu diskudhys unnek bledhen a-wosa yn Victoria, moy es 200lbs y boster (moy es 14 menbos, po 90kg).
Age, Disability, Gender, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief, Sex, Sexual orientation	Bloodh, Evredhekter, Reydh, Demedhyans ha keskowethyans civil, Beghyegeth ha mamoleth, Hil, Relyjyon po kryjyans, Seks, Tuedhder reydhel
Corner House	Chi Korn
Although never recognised in his lifetime, his device is thought to have saved thousands of lives.	Kyn na veu aswonys dres y vewnans, y prederir y dhevis dhe sawya milvilyow a vewnansow.
You dance with light feet.	Ty a wra donsya gans dewdros skav.
Historic Environment Record Lead	Hembrenkyas Kovadh Kerghynnedh Istorek
With seven stunning beaches, miles of glorious coastline and a vibrant town centre, Newquay has something to offer you all year round.	Gans seyth treth splann, mildiryow a arvor marthys, ha pella kres an dre bewek, Tewynblustri a gynnik neppyth dhywgh dres an vledhen oll.
Historically the lord of the manor had extensive rights to minerals on manorial land (GHW/16/V/160).	Yn termyn eus passyes arlodh an maner a’n jevo gwiryow efan dhe voon yn tir manerek (GHW/16/V/160).
Were they doctors?	Ens i medhogyon?
A future of caring for our planet	Devedhek a witha agan planet
Factual Series	Kevres Fethyel
I am training to be a teacher.	Yth esov vy ow tyski dhe vos dyskader.
Our door is green.	Agan daras yw gwyrdh.
Yes. You want to play in the garden.	Mynnowgh. Hwi a vynn gwari y'n lowarth.
How can we get to the railway station?	Fatel yllyn ni mos dhe'n gorsav tren?
Finally it identifies those responsible for driving forward the cultural agenda in Cornwall and shows how the sector is working together to make a difference.	Wortiwedh yth aswon an re na gans charj rag lewya yn-rag an rol negys gonisogethek yn Kernow ha diskwedhes fatel usi an ranngylgh ow kesoberi dhe wul dyffrans.
Wreck presentment records provide us with a historical snapshot of the variety of trade in goods, including cloth, spices, tea, wine, rum, brandy, sugar, precious jewels and ivory.	Kovadhow presentyans gwreck a brov dhyn golok istorek a nas dhivers an kenwerth gwara, y’ga mysk pannow, spisys, te, gwin, romm, dowr tomm frynkek, sugra, jowelys precyous hag ivori.
We expect our collections will reveal more and more diverse stories about Cornwall's past.	Ni a dhesev y hwra agan kuntellyansow diskudha lies moy hwedhel divers a-dro dhe istori Kernow.
Bless you dear friend and hope you understand my letter.	Ni a'th soon, kowethes ger, ha gwaytya may konvetthi ow lyther.
Are we walking home?	Eson ni ow kerdhes tre?
A local man is seeking funds to properly mark the life of an extraordinary Cornish woman	Yma den teythyek ow hwilas arghasans dhe verkya yn ewn bewnans a venyn Gernewek marthys.
Additional Footage	Skeusennow Keworansel
Greater skills in the area of multitasking, creativity and innovation	Sleynethow brassa y’n arenebedh a liesoberenieth, awenekter ha nowedhyans
No. They didn’t go by train.	Na wrussons. Ny wrussons i mos yn tren.
The Transatlantic Slave Trade	An Kenwerth Kethyon Treusatlantek
Do I want to learn?	A vynnav vy dyski?
We want the finest wines available to humanity, and we want them here and we want them now.	Ni a vynn kavos gwinow an finna kavadow dhe dhensys, ha ni a vynn may fons i omma ha may fons i omma lemmyn.
Housing cooperative	Keskowethas Anedhans
Where can I find a pharmacy?	Ple hallav vy kavos ferylva?
In recent decades, minoritised languages in Europe have become increasingly visible and connected, leading to the formation and evolution of minority language Public Service Broadcasters.	Yn degvledhynnyow a-dhiwedhes, re dheuth ha bos yethow minoryta yn Europa moy ha moy gweladow ha kevrynnys, re ledyas dhe'n selyans hag esplegyans a Dharlesoryon Gonis Poblek yethow minoryta.
Yes. I did learn Cornish.	Gwrug. My a wrug dyski Kernewek.
From the album ‘Res Publica;’ available on Amazon and iTunes	Dhyworth an albom ‘Res Publica;’ kavadow orth Amazon hag iTunes
I like swimming. I swim in the sea through the year.	Da yw genev neuvya. My a neuv y’n mor dres an vledhen.
Cornish language is currently rarely featured in projects by UK Government which reinforces the ‘othering’ of the language.	Y'n eur ma, Kernewek yw namenowgh diskwedhys yn ragdresow Governans an RU ha hemm a grefha 'aralheans' an yeth.
Living heritage relating to performance and human creativity.	Ertach bew kelmys dhe berformyans hag awenekter densys.
Waves	Tonnow
My niece thinks that I sleep all the day.	Ow nith a dyb my dhe goska oll an jydh.
For more information, go to our Visit Us page.	Rag pella kedhlow, dewgh dh’agan folen Vysytyewgh Ni.
I'm on the main street in the capital city.	Yth esov vy y'n stret meur y'n benncita.
1980s	An bledhynnyow mil naw kans ha peswar ugens
We don’t work here anymore.	Ny wren ni oberi omma namoy.
Cornish mermaids 	Morvorenyon kernewek
Finance & Assurance	Arghansereth hag Afydhyans
only when it’s safe to do so and following government guidance.	pan vo salow dh'y wul hepken hag ow sewya gidyans an governans.
Endangered/minority languages	Yethow peryllys/minoryta
Did we cycle fast?	A wrussyn ni diwrosa yn uskis?
Harmonise	Kesseni
Celebrating a Huge Investment	Kevewya Kevarghow Kowrek
Do you go by train?	A wrewgh hwi mos yn tren?
Yes. You learnt Cornish.	Gwrussowgh. Hwi a wrug dyski Kernewek.
You should try singing some time.	Y kodh dhywgh assaya kana nepprys.
Leach created a uniquely personal language through different glazes and decoration, drawing on his training as an art student and using historical references from both the East and West.	Leach a wre yeth personek yn unnik dre wedrow hag afinans dihaval, ow kemeres awen a'y drenyans avel studhyer art ha devnydhya kampollansow istorek hag a'n Est ha'n West.
Do we want to stop in Camborne?	A vynnyn ni hedhi yn Kammbronn?
Portfolio Holder for Environment, Heritage and Planning	Synsyades Plegell rag Kerghynnedh, Ertach ha Towlennans
Continuing to work together we can create a cleaner, greener, fairer and more inclusive Cornwall.	Ow pesya dhe gesoberi, ni a yll gwruthyl Kernow yw glanna, glassa, gwiwa ha moy dalghus.
The St Austell, St Blazey and China Clay Area has a varied and unique character and has been bound up in the fortunes of the China Clay industry.	Arenebedh S. Austel, Lanndreth ha Pri Gwynn a’n jeves gnas dhivers unnik, kelmys dell veu yn fortunnyow diwysyans Pri Gwynn.
The potters packed the kiln, ensuring that the flames could pass through the mass of pots to give an even distribution of temperature throughout each chamber.	An briweythoryon a fardella an oden, yn unn surhe an flammow dhe dremena dres an bush a bottow dhe ri lesrannans kompes a dempredh dres pub chambour.
Positively, in 2021 we have a major international conference in China to push forward the worldwide biodiversity agenda; while at home we have the COP26 climate change conference in Glasgow.	Yn posedhek, ni a’gan beus yn 2021 keskussulyans keswlasek meur yn China rag herdhya yn-rag rol negys bewdhiverseth treusvysek; hag yn kettermyn ni a’gan beus tre keskussulyans chanj hin COP26 yn Glasgow.
I will love you eternally	My a wra dha gara bythkwethek
You went past the hospital and then turned left.	Hwi a dremenas an klavji hag ena treylya a-gledh.
Are they reading the same book?	Esons i ow redya an keth lyver?
This has led to a vibrant use of Welsh on social media and tech, e.g. Hansh.	Hemma re ledyas dhe us bewek a Gembrek yn media socyal, r.e. Hansh.
Welcome to Cornwall.	Kernow a’gas dynnergh.
The opening of the Museum of Carefree exhibition	Ygeryans an Diskwedhyans Museum of Carefree
Cabinet Member for Adult Social Care & Health Partnerships	Esel an Kabinet rag Tevesikwith Socyal & Keskowethyansow Yeghes
Armenian	Armenek
Were they dancing?	Esens i ow tonsya?
Folklife in the West	Bewnans Gwerin y'n Orlewin
No. You didn’t buy a tractor.	Na wrussys. Ny wruss'ta prena jynn-tenna.
P15	P15
From the river to the sea	A'n avon dhe'n mor
You chat afterwards before going home.	Ty a wra klappya a-wosa kyns mos tre.
There is a problem with your account. Please see a member of staff for assistance.	Yma kudyn a’gas akont. Gwelewgh mar pleg esel an mayni rag gweres.
We are a lot of fun.	Pur dhidhanus on ni.
If you have items you would like to add to our collections, please read more on our Adding to our collections (English) page.	Mars eus taklennow dhis a vynnowgh keworra dh’agan kuntellow, redyewgh moy war agan folen Keworra dh’agan kuntellow (Sowsnek), mar pleg.
We lost the Cornish Police Force to merger in the 1960s and, since then, the centralisation of a range of public bodies and organisations has undermined the Cornish economy and cost thousands of Cornish jobs.	Ni a gollas Kreslu Kernow dhe'n kesunyans yn 1960ow hag, a-dhia henna, kresennans a gevres a gorfow poblek ha kowethyansow re balas yn-dann an erbysiedh kernewek ha kelli a wrussyn milyow a oberennow kernewek.
No. I didn’t sleep.	Na wrug. Ny wrug vy koska.
Print/Email Report	Pryntya/Ebostya Derivas
You work as waiters.	Hwi a ober avel gwesyon.
Fowey Battery 	Gonnva Fowydh
You need more details to open the account.	Yma edhom dhywgh kavos manylyon erel dhe ygeri an akont.
Also on our YouTube channel is a range of talks and presentations on the manuscripts and themes within them.	Y’gan kanel YouTube ynwedh yma arethow ha presentyansow a bub eghen a-dro dhe’n gwariskrifow ha’n themys synsys ynna. 
4. Areas of cooperation covered by this Agreement:	4. Materyow kesoberyans synsys y'n Akord ma:
To access archives and rare books you will need to bring some ID showing your name and address (or we will also accept a Cornwall Libraries card).	Rag drehedhes kovskrifvaow ha lyvrow tanow res yw dhywgh dri neb ID a dhiskwa agas hanow ha trigva (po ni a wra degemeres karten Lyvervaow Kernow).
He gives it to John.	Ev a'n re dhe Yowan.
Controlled fires are used by some land managers to manage vegetation, particularly on heaths and moors between 1 October and 15 April.	Tanow kontrollys yw devnydhys gans nebes dyghtyoryon tir rag dyghtya losowedh, yn arbennik war rosyow ha halow ynter 1a Hedra ha 15ves Ebrel.
The maps are accompanied by an apportionment book which gives information including who rented each plot.	Keveylyes yw an mappow gans lyver kevrannans hag a re kedhlow a gomprehend an dus a rentya pub splatt.
Any commercial benefit from the living heritage item, must be for the primary benefit of the community.	Res yw bos pub prow kenwerthel dyworth an dra ertach bew, rag prow kynsa a’n gemeneth.
Did you play in that field?	A wrussowgh hwi gwari y'n pras na?
We would prefer it if it were colder.	Gwell via genen a pe yeynna.
Our photographic collections capture all sorts of scenes of life in Cornwall (AD356/121).	Agan kuntellow skeusennek a syns ynna gwelyow a vewnans yn Kernow a bub eghen.
We would like to encourage as many people as possible to incorporate 5 simple words and phrases into their everyday life.	Ni a vynnsa kennertha kemmys tus hag yw possybyl dhe ynkorfora 5 ger po lavar sempel y'ga bewnans keniver jorna.
Scottish Parliament legislated to provide a scheme of financial redress for individuals who suffered child abuse in care settings. (2021)	Senedh Alban a wrug laghys rag provia towl a astiveryans arghansel rag tus a borthas tebeldyghtyans fleghes yn kerghynedhow gwith. (2021)
That is why it seems so appropriate that the theme of the Truro Investment Plan is ‘connectivity’.	Henn yw prag yth hevel mar wiw bos thema Towl Kevarghow Truru ‘junyadewder’.
Wales – S4C	Kembra - S4C
Dwelling next to the stones	Bos an meyn
We must draw on these qualities over the coming years to ensure we ‘bounce forwards’ and recover from the economic impact of the pandemic.	Res yw dhyn tenna a'n kwalitas ma dres an vledhynnyow a dheu dhe surhe ni dhe 'aslamma yn-rag' ha yaghe dhyworth effeyth erbysiedh a'n pandemik.
Given these challenges and opportunities, this refreshed strategy reaffirms our commitment to grow nature locally.	Gans an chalenjys ha chonsyow na, an strateji nowydhhes a dhasafi agan ambos dhe devi natur yn leel.
[Female] Friends Singing	Kangowethesow
This year’s Global Biodiversity Outlook from the UN found that the world failed to meet any of the international targets set to stem the destruction of wildlife and ecosystems over the last decade.	Gologva Vewdhiversedh Ollvysel an vledhen ma a’n KU (UN) a dhismygis an norvys dhe fyllel metya kosten geswlasek vyth settys dhe hedhi distruyans a wodhvewnans hag ekosystemow dres an dhegvledhen dhiwettha.
From roads to railways, sea ports to an airport, our archive collections contain a wealth of information on transport.	A fordhow dhe hensyow horn, porthow dhe unn ayrborth, yma y’gan kuntellow kedhlow pals ow tochya karyans.
Scotland now has its own Parliament and Wales its own Assembly – but Cornwall has been ignored.	Lemmyn, yma dhe Alban Senedh hy honan ha dhe Gembra Kuntelles hy honan – mes Kernow re beu skonys.
Cancel	Dilea
You can view the whole album by searching our catalogues	Y hyllir gweles an albom leun dre hwilas y’gan menegvaow
Objective 2	Amkan 2
The Pyg Track	An Hyns Pyg
Cornish diaspora	Keskar kernewek
Our mum is in Bude.	Yma agan mamm yn Porthbud.
Hard Corps	Korf Kales
When can you run for Cornwall?	Ev a yll ponya yn uskis. P'eur hyllowgh hwi ponya rag Kernow?
The steady decline and in some cases the critical loss of such languages have brought to the fore efforts for the promotion and revitalisation of endangered and minority languages in general.	An difygyans heb diwedh hag yn nebes kasys an koll troboyntel a yethow a'n par na re herdhyas war-rag assays dhe avonsya ha gul dasvewa yethow peryllys ha minoryta dre vras.
Can you come too?	A yllydh ta dos ynwedh?
Closed	Deges
Coast artillery at Pendennis, 1540–1956	Gonnys bras arvorel orth Penndinas, 1540–1956
Yes. I have a copy here.	Eus, yma dasskrif genev omma.
On this website	Y'n wiasva ma
After 12 months, you may leave the property if you wish.	Wosa dewdhek mis, hwi a yll gasa an gerth mar mynnowgh.
Together we will overcome the significant impacts of Covid-19, together we will combat global warming and achieve social justice, and you and your Council will help Cornwall’s communities and economy recover and renew.	War-barth y hwren ni fetha an effeythyow sad a Covid-19, war-barth y hwren ni fetha tommheans ollvysel ha hedhes justis socyal, ha hwi ha'gas Konsel a wra gweres kemenethow hag erbysieth Kernow owth omwellhe ha nowedhi.
Ticket office	Tokynva
Have they got a new mobile phone?	Eus klapkodh nowydh dhedha?
No. We're not waiting for a bus.	Nag eson. Nyns eson ni ow kortos kyttrin.
Ministers noted that the next BIC Indigenous, Minority and Lesser-Used Languages Ministerial Meeting will be hosted by the Government of Guernsey.	Menystrys a merkys an nessa Kuntellyans Menystrek rag Yethow Genesik, Minoryta ha Le Usys a wra ostys gans an Wovernans a Wernenys.
Camborne is at the centre of Cornwall’s industrial heartland.	Yma Kammbronn orth kres krestir diwysyansel Kernow.
You said that there are different portion sizes.	Ty a leveris bos darnow a vrasterow dihaval.
Life enhancing creativity, for one and all	Awenekter hag a wellha an bewnans, rag onan hag oll
The UK ICH process should develop a holistic approach that makes the link between ‘intangible’ and ‘tangible’ cultural heritage. The existing system of heritage protection in the UK only provides protection to ‘tangible’ assets and this should be an opportunity to extend protection and promote greater understanding of the cultural context.	Argerdh EGA an RU a dal displegya stons ollgompassus a wra an gevren ynter ertach gonisogethel 'antavadow' ha 'tavadow'.  Ny brovi an kevreyth a-lemmyn a dhifresyans ertach y'n RJ marnas difresyans dhe bythow ‘tavadow’, ha hemma a dal bos chons a ystyn difresyans hag avonsya konvedhes brassa a'n gettesten wonisogethel. 
I am in the restaurant too.	Yth esov vy y'n bosti ynwedh.
St Pauls Family Hub	Both Teylu S. Powl
Have you got radios?	Eus radyo dhywgh?
In the last 18 months, economic challenges have arisen globally on a scale that few could have predicted, and many thought were impossible.	Y’n diwettha 18 mis chalenjys erbysiethek re sevis dres oll an bys, ha dhedha kowrogeth na yllys hy dargana hag y prederis lies hy bos anpossybyl.
